 Ardbeg 1976 Manager's Choice, 70cl / 56% ," £7,500 "
 Ardbeg 1973, 70cl / 51.4% ," £4,000 "
 Aberfeldy 1969, 75cl / 40% , £700 
 Tomatin 10 Year Old, 75cl / 43% ," £1,000 "
 Tomatin 5 Year Old, 75cl / 43% , £175 
 Talisker 8 Year Old, 75cl / 45.8% , £850 
 Glenesk 12 Year Old, 75cl / 40% , £350 
 Balvenie Classic, 75cl / 43% , £500 
 Bowmore 1965, 75cl / 50% ," £10,000 "
 Talisker 12 Year Old, 75cl / 43% , £950 
 Lagavulin 1980, 100cl / 43% ," £1,200 "
 Lochnagar 12 Year Old, 75cl / 40% , £225 
 Springbank 25 Year Old, 75cl / 43% ," £2,500 "
 Miltonduff 12 Year Old, 75cl / 43% , £199 
 Macallan 25 Year Old, 150cl / 45.5% ," £14,000 "
 Glenfarclas 1962, 70cl / 45.3% ," £5,000 "
 Highland Park 35 Year Old, 70cl / 50% ," £5,000 "
 Longrow 1973, 75cl / 46% ," £2,500 "
 Strathisla 12 Year Old, 75cl / 40% , £399 
 Brora 1982, 70cl / 50% ," £1,000 "
 Brora 1982, 70cl / 46% ," £1,000 "
 Longmorn 1973, 70cl / 54.9% ," £1,000 "
 Highland Park Freya, 70cl / 51.2% , £500 
 Glenmorangie 10 Year Old, 100cl / 43% , £275 
 Old Elgin 1940, 75cl / 43% ," £2,500 "
 Dalwhinnie 8 Year Old, 75cl / 40% , £450 
 Glen Grant 33 Year Old, 75cl / 40% ," £1,500 "
 Port Ellen 1982, 70cl / 57.6% ," £1,000 "
 Port Ellen 1979, 70cl / 50% ," £1,200 "
 SMWS 18.4 (Inchgower), 70cl / 62.4% ," £2,000 "
 Port Ellen 1983, 70cl / 49.4% ," £1,000 "
 Port Ellen 1982, 70cl / 56.8% ," £1,100 "
 Port Ellen 1982, 70cl / 63.1% ," £1,500 "
 Linkwood 1938, 75cl / 40% ," £3,250 "
 Lochside 1966, 75cl / 40% ," £1,000 "
 Lagavulin 12 Year Old, 75cl / 43% ," £3,000 "
 Inchgower 12 Year Old, 75.7cl / 40% , £199 
 Knockando 1967, 75cl / 43% , £550 
 Glenrothes 1972, 70cl / 43% ," £1,250 "
 Glen Spey 8 Year Old, 75cl / 40% , £350 
 Glen Spey 8 Year Old, 75cl / 40% , £350 
 Glen Spey 8 Year Old, 75cl / 40% , £350 
 Port Ellen 1982, 70cl / 52.4% ," £1,500 "
 Glen Grant 35 Year Old, 75cl / 40% ," £1,500 "
 Glenmorangie Port Wood, 70cl / 46.5% , £325 
 Glenfiddich 8 Year Old, 75cl / 40% , £225 
 Glen Elgin 12 Year Old, 75cl / 43% , £250 
 Glenfarclas 8 Year Old, 75cl / 60% , £850 
 Glenfarclas 8 Year Old '105', 75cl / 60% , £750 
 Glenfarclas 5 Year Old, 75cl / 43% , £399 
 Glen Grant 1936, 75cl / 40% ," £4,500 "
 Glenlivet Special Export Reserve, 75cl / 43% , £550 
 Glenlivet Special Export Reserve, 75cl / 43% , £650 
 Glen Grant 25 Year Old, 75cl / 40% , £750 
 Glenlivet 1963, 75cl / 43% ," £3,500 "
 Glenlivet 20 Year Old, 75cl / 45.7% ," £1,200 "
 Glen Flagler 8 Year Old, 75cl / 40% , £699 
 Glen Elgin 12 Year Old, 75.7cl / 43% , £299 
 Glenfiddich 8 Year Old, 75.7cl / 40% , £225 
 Dufftown 8 Year Old, 75cl / 40% , £225 
 Dufftown 8 Year Old, 75cl / 40% , £225 
 Glendullan 12 Year Old, 75cl / 47% , £199 
 Bowmore 12 Year Old, 100cl / 43% , £350 
 Blair Athol 8 Year Old, 75cl / 40% , £250 
 Blair Athol 8 Year Old, 75cl / 40% , £175 
 Blair Athol 8 Year Old, 75cl / 40% , £250 
 Balvenie 12 Year Old Classic, 75cl / 43% ," £1,100 "
 Glenury Royal 1970, 70cl / 57% ," £1,800 "
 Glenlivet 12 Year Old, 75.7cl / 40% , £199 
 Glenmorangie 12 Year Old, 70cl / 40% , £250 
 Port Ellen 1983, 70cl / 51.8% ," £1,000 "
 Glenfarclas 1960, 70cl / 42.3% ," £4,700 "
 Glenfarclas 1955, 70cl / 43.3% ," £7,500 "
 Port Ellen 1978, 70cl / 55% ," £2,750 "
 Caol Ila Unpeated, 70cl / 59.6% , £150 
 Glen Keith 1967, 75cl / 46% , £750 
 Mortlach 1938, 75cl / 40% ," £4,000 "
 St Magdalene 1979, 70cl / 63.8% ," £1,500 "
 Glenrothes 1954, 75cl / 40% ," £2,000 "
 Port Ellen 1980, 75cl / 40% ," £1,000 "
 Bowmore Blair Castle Horse Trials 2001 , 70cl / 40% ," £1,500 "
 Glenmorangie 12 Year Old, 70cl / 40% , £250 
 Kinclaith 1969, 70cl / 47.3% ," £5,500 "
 Linkwood 1954, 70cl / 40% ," £2,500 "
 Br5 - Elements of Islay , 50cl / 53.8% , £89.95 
 Highland Park 1973, 70cl / 43% , £700 
 Springbank 1965, 70cl / 46% ," £4,000 "
 Bowmore 1968, 70cl / 45.5% ," £5,000 "
 Laphroaig 10 Year Old, 100cl / 43% , £900 
 Glenlivet 1938, 75cl / 40% ," £3,500 "
 Glendronach 12 Year Old, 75cl / 40% , £450 
 Glen Grant 1952, 70cl / 40% ," £2,800 "
 Pride of Strathspey 1937, 75cl / 40% ," £7,500 "
 Banff 1974, 75cl / 40% , £650 
 Macallan 1968, 70cl / 47.2% ," £3,000 "
 Glenfarclas 25 Year Old, 70cl / 42.4% , £600 
 Ben Wyvis 1972, 75cl / 54.4% ," £3,500 "
 SMWS (Balmenach) 48.2, 75cl / 62.9% , £750 
 Glen Garioch 1968, 70cl / 56.6% ," £3,000 "
 Glenrothes 1979, 70cl / 43% , £700 
 Glenlivet 1938, 75cl / 40% ," £3,500 "
 Glenfiddich Special, 75cl / 40% ," £5,000 "
 Ardbeg 1999 Galileo, 75cl / 49% , £500 
 Linlithgow 1975, 70cl / 46% , £750 
 Glentoshan (Auchentoshan) 5 Year Old, 75cl / 40% , £250 
 North Port Brechin 1974, 75cl / 66.1% ," £1,000 "
 Glenfarclas 1963, 70cl / 46.5% ," £5,000 "
 Glenesk 1984, 70cl / 43% , £450 
 SMWS 56.6 (Coleburn), 70cl / 60.3% , £650 
 SMWS 74.2 (North Port), 70cl / 62.4% ," £1,350 "
 Glenlochy 1979, 70cl / 46% ," £1,000 "
 Port Ellen 1979, 70cl / 46% ," £1,750 "
 Mosstowie 1979, 70cl / 46% ," £1,000 "
 Auchentoshan 1966, 75cl / 43% ," £1,500 "
 Glenfarclas 1959, 70cl / 46% ," £4,000 "
 Glen Grant 1945, 75cl / 40% ," £5,000 "
 Glen Flagler 8 Year Old, 75cl / 43% , £699 
 Port Ellen 1983, 70cl / 50% ," £1,000 "
 Highland Park Loki, 70cl / 48.7% , £600 
 Glenlivet 1938, 75cl / 40% ," £3,500 "
 North Port (Brechin) 1976, 70cl / 64.1% , £750 
 SMWS 56.4 (Coleburn), 70cl / 64.1% , £750 
 SMWS 56.5 (Coleburn), 70cl / 64.7% , £750 
 Port Ellen 1982, 75cl / 50% ," £1,750 "
 Port Ellen 1978, 75cl / 50% ," £1,500 "
 Tullibardine 1993, 70cl / 46% , £168 
 Glen Esk 1983, 70cl / 54.4% ," £1,400 "
 Dalmore 12 Year Old, 70cl / 40% , £250 
 Springbank 1967, 75cl / 43.1% ," £3,750 "
 Knockando Extra Old Reserve, 70cl / 40% , £350 
 Auchentoshan 1965, 70cl / 48.9% ," £1,500 "
 Glen Grant 1949, 75cl / 40% ," £3,750 "
 Glenrothes 1968, 70cl / 50.5% ," £1,500 "
 Millburn 1983, 70cl / 59.7% , £650 
 Strathisla 1949, 75cl / 40% ," £3,500 "
 Talisker 1951, 75cl / 43% ," £2,500 "
 Miltonduff 1966, 75cl / 43.6% ," £1,000 "
 Linlithgow 1975, 75cl / 49.7% ," £1,000 "
 Springbank 1965, 70cl / 43% ," £2,750 "
 Highland Park 1966, 75cl / 40.1% ," £2,000 "
 Bunnahabhain 1967, 75cl / 45.8% ," £1,250 "
 Bowmore 1964, 75cl / 43.2% ," £22,500 "
 Glenfiddich 30 Year Old, 75cl / 43% ," £6,500 "
 SMWS L13.11 (Dalmore), 70cl / 59.2% ," £1,500 "
 SMWS 4.62 (Highland Park), 70cl / 53.5% , £900 
 Linlithgow 1975, 70cl / 46% , £750 
 St Magdalene 1964, 75cl / 40% ," £1,600 "
 Brora 1982, 70cl / 46% ," £1,000 "
 Glenmorangie 1977, 70cl / 43% ," £1,000 "
 Ledaig 10 Year Old, 70cl / 48.8% , £79.95 
 Cardhu 12 Year Old, 75cl / 43% , £750 
 SMWS 71.8 (Glenburgie), 70cl / 59.3% , £600 
 Benromach 1998, 70cl / 56.2% , £350 
 Talisker 1978, 70cl / 50% ," £2,750 "
 Talisker 1951, 75cl / 43% ," £2,500 "
 Balvenie 17 Year Old, 70cl / 48.7% , £450 
 Deanston 1999, 70cl / 49.3% , £145 
 SMWS 2.67 (Glenlivet), 70cl / 58.1% ," £1,000 "
 Glenury 1968, 70cl / 48.8% ," £1,450 "
 Glenlivet 1969, 70cl / 52.51% ," £2,000 "
 SMWS 61.4 (Brora), 70cl / 58.3% ," £2,500 "
 Tullibardine 10 Year Old, 75cl / 40% , £125 
 Springbank 18 Year Old, 70cl / 46% ," £3,000 "
 Port Ellen 1978, 70cl / 61.8% ," £1,500 "
 Port Ellen 25 Year Old, 70cl / 56% ," £2,250 "
 Glenlivet 15 Year Old, 75cl / 46% ," £4,500 "
 Bladnoch 29 Year Old, 70cl / 41.2% ," £5,000 "
 Avonside (Glenlivet) 1938, 75cl / 43% ," £2,750 "
 Bowmore 8 Year Old, 113cl / 43% ," £6,000 "
 Linkwood 1956, 70cl / 49.4% ," £23,000 "
 SMWS 49.3 (St Magdalene), 75cl / 63% ," £1,100 "
 Avonside (Glenlivet) 1938, 75cl / 43% ," £2,750 "
 Port Ellen 1982, 75cl / 50% ," £1,500 "
 Glen Grant 25 Year Old, 75.7cl / 40% ," £1,000 "
 Bunnahabhain 1966, 70cl / 40.6% ," £1,350 "
 Macallan 1977, 70cl / 48.5% ," £32,500 "
 Highland Park 1959, 75cl / 43% ," £3,000 "
 Highland Park 1972, 70cl / 55.9% ," £1,000 "
 Glen Grant 1949, 70cl / 40% ," £4,000 "
 SMWS 1.28 (Glenfarclas), 75cl / 57.5% , £500 
 Mortlach 1936, 75cl / 43% ," £4,500 "
 Clynelish 1993, 70cl / 51.7% , £375 
 Cragganmore 1966, 75cl / 52.2% ," £2,000 "
 Ardbeg 10 Year Old, 75cl / 40% ," £2,000 "
 Lochside 1966, 70cl / 51.8% ," £1,750 "
 Glenkinchie 1964, 75cl / 40% ," £1,250 "
 Glenlivet 1956, 75cl / 40% ," £1,500 "
 Tobermory 1972, 75cl / 40% , £900 
 SMWS 58.11 (Strathisla), 70cl / 51.4% ," £1,750 "
 SMWS 9.39 (Glen Grant), 70cl / 51.8% ," £1,350 "
 Knockando 1966, 75cl / 43% , £550 
 SMWS 53.70 (Caol Ila), 70cl / 57.9% , £650 
 Port Ellen 1980, 70cl / 46% , £950 
 Springbank 1969, 70cl / 40.9% ," £3,000 "
 Benriach 1966 Set With Glass & Miniature, 75cl / 47.2% ," £1,500 "
 SMWS 27.14 (Springbank), 75cl / 56.9% ," £2,500 "
 Linlithgow 1982, 70cl / 43% , £700 
 Glenglassaugh 1967, 70cl / 42.7% ," £4,050 "
 Benriach 30 Year Old Authenticus Peated , 70cl / 46% , £450 
 Bowmore Sherriff's, 37.8cl / 40% ," £2,250 "
 Highland Park 1958, 75cl / 44% ," £10,000 "
 Bunnahabhain 12 Year Old, 100cl / 43% , £325 
 Brora 1981, 70cl / 43% , £850 
 Tobermory 20 Year Old, 70cl / 46.3% , £169 
 Tomatin 10 Year Old, 75.7cl / 40% ," £1,200 "
 Benriach 22 Year Old Dunder , 70cl / 46% , £155 
 Laphroaig 27 Year Old, 70cl / 41.7% , £750 
 Bruichladdich 1985, 70cl / 48.7% , £700 
 Linlithgow 1975, 70cl / 58.1% ," £1,000 "
 Mannochmore 1982, 75cl / 67.8% , £450 
 Glen Moray 1986, 75cl / 61.1% , £450 
 Strathisla 1970, 70cl / 43% ," £1,200 "
 Glen Moray 1982, 70cl / 56% , £450 
 Blair Athol 8 Year Old, 75cl / 40% , £299 
 Glenrothes 1985, 70cl / 56.5% , £399 
 Dalmore 1979, 70cl / 54.6% ," £4,500 "
 Glenmorangie 10 Year Old, 200cl / 40% , £550 
 Port Ellen 1982, 70cl / 48.5% ," £1,800 "
 Glenlivet 1943, 70cl / 49.1% ," £40,000 "
 Brora 1982, 70cl / 58.6% ," £1,250 "
 Brora 1982, 70cl / 40% ," £1,000 "
 Linkwood 1982, 70cl / 64.2% , £399 
 Glenlivet 1955, 70cl / 43% ," £2,250 "
 Glen Grant 1954, 70cl / 40% ," £2,350 "
 Macallan 36 Year Old, 70cl / 42.1% ," £3,000 "
 SMWS 7.128 (Longmorn), 70cl / 54% , £750 
 Bowmore 1974, 70cl / 49.6% ," £4,000 "
 North Port Brechin 1976, 70cl / 50.4% ," £1,825 "
 Glencraig 1976, 70cl / 42.6% ," £1,200 "
 Port Ellen 1980, 70cl / 46% , £950 
 Caol Ila 1976, 70cl / 59.7% , £750 
 Miltonduff 1982, 70cl / 46% , £250 
 Glen Grant 1950, 70cl / 40% ," £3,200 "
 Highland Park 40 Year Old , 70cl / 47.5% ," £3,000 "
 Highland Park 1992, 70cl / 50% , £360 
 Port Ellen 1980, 70cl / 43% ," £2,000 "
 Pride Of Strathspey 1938, 75cl / 40% ," £6,000 "
 Glen Grant 1972, 70cl / 45% ," £1,000 "
 Highland Park 25 Year Old, 70cl / 50.7% ," £1,500 "
 Brora 1981, 70cl / 54.5% ," £1,200 "
 Glenburgie 1966, 70cl / 43% , £875 
 Kinclaith 1965, 70cl / 51.4% ," £3,000 "
 Longmorn 1973, 75cl / 45% ," £1,500 "
 Glenfarclas 1959, 70cl / 46% ," £4,000 "
 Glen Keith 1995, 70cl / 51.6% , £215 
 Highland Park 2003, 70cl / 52.5% , £125 
 Inchgower 1989, 70cl / 48.1% , £250 
 Ledaig 2008, 70cl / 51.3% , £87.95 
 Strathisla 1953, 70cl / 43.5% ," £12,500 "
 Glen Grant 1957, 70cl / 42.5% ," £7,500 "
 Glen Grant 1965, 70cl / 47.4% ," £4,950 "
 Glen Elgin 2008, 70cl / 59% , £76.25 
 Mannochmore 2008, 70cl / 56.1% , £66.95 
 Deanston 1999, 70cl / 53.1% , £160 
 Dalmore 1985, 70cl / 51.5% ," £2,500 "
 Port Ellen 1980, 70cl / 62% ," £1,500 "
 Knockando 1965, 75cl / 43% , £550 
 Glenlivet 1973, 70cl / 43.1% ," £1,275 "
 Glenlivet 1954, 75cl / 46% ," £5,000 "
 Port Ellen 39 Year Old, 70cl / 50.9% ," £4,500 "
 St Magdalene 1964, 75cl / 40% ," £1,600 "
 SMWS 78.17 (Ben Nevis), 70cl / 63.6% , £850 
 Glenfarclas 1968, 70cl / 54.4% ," £6,000 "
 Balblair 25 Year Old , 70cl / 46% , £499 
 Knockando 1979, 100cl / 43% , £299 
 Highland Park 50 Year Old , 70cl / 42.5% ," £23,250 "
 Longmorn 1961, 70cl / 40.8% ," £15,000 "
 Longmorn 1961, 70cl / 45% ," £15,000 "
 Pride of Strathspey 1938, 75cl / 40% ," £6,000 "
 Glen Grant 1948, 70cl / 48.6% ," £17,500 "
 Laphroaig 1981, 70cl / 56.6% ," £7,000 "
 Springbank 1972, 75cl / 46% ," £3,000 "
 Dalmore 12 Year Old, 100cl / 43% , £375 
 Glendronach 1955, 75cl / 40% ," £2,000 "
 Glenturret 30 Year Old , 70cl / 43.3% ," £1,650 "
 Glenfiddich Special Reserve, 75cl / 43% ," £1,200 "
 Glenlivet 1972, 70cl / 53.86% ," £1,500 "
 Knockando 1970, 75cl / 43% , £500 
 Auchroisk 1990, 70cl / 53.7% , £205 
 Glenfarclas 15 Year Old, 75cl / 45% , £700 
 Knockando 1973, 75cl / 40% , £399 
 Springbank 10 Year Old, 75.5cl / 40% , £850 
 Glen Grant 7 Year Old, 75cl / 40% , £500 
 Port Askaig 34 Years Old, 70cl / 49.7% ," £1,000 "
 Lochside 1967, 70cl / 40.8% ," £2,000 "
 Longmorn 1974, 70cl / 43.7% ," £1,800 "
 SMWS 4.65 (Highland Park), 50cl / 57.6% ," £1,000 "
 Springbank 1975, 70cl / 43% ," £1,000 "
 Strathisla 15 Year Old, 75cl / 57.1% ," £2,000 "
 Caol Ila 1968, 70cl / 52.5% ," £7,500 "
 Longmorn 1975, 70cl / 46% , £750 
 Inchmurrin 1966, 75cl / 52% ," £1,000 "
 Springbank 1975, 70cl / 50.5% ," £1,000 "
 Glenfarclas 15 Year Old, 75cl / 46% , £700 
 Glenfarclas 8 Year Old, 75cl / 60% , £750 
 Glenmorangie 1987, 75cl / 46% ," £1,600 "
 Bunnahabhain 1966, 70cl / 40.1% ," £1,350 "
 Dalmore 1979, 70cl / 47% ," £6,000 "
 St Magdalene 1964, 75cl / 40% ," £1,600 "
 Glenfiddich 50 Year Old, 70cl / 43.7% ," £26,000 "
 Dalmore 1965, 70cl / 53.1% ," £3,250 "
 Glenfarclas 6 Year Old, 75cl / 40% , £175 
 Springbank 1967, 70cl / 43.4% ," £3,000 "
 North Port Brechin 1981, 70cl / 57.2% ," £1,275 "
 Mosstowie 1973, 70cl / 51.6% ," £1,495 "
 Glencraig 1976, 70cl / 42% ," £1,250 "
 Craigduff 1973, 70cl / 45.4% ," £1,495 "
 Old Fettercairn 26 Year Old, 70cl / 45% , £325 
 Laphroaig 1998, 70cl / 55.2% , £550 
 Highland Park 1996, 70cl / 51.4% , £325 
 Bunnahabhain 1963 , 70cl / 43% ," £2,000 "
 Highland Park 12 Year Old, 100cl / 43% , £250 
 Glenmorangie 1972, 75cl / 46% ," £1,350 "
 Tullibardine 1964, 70cl / 44.2% ," £2,000 "
 Glen Grant 20 Year Old, 75cl / 45% ," £2,000 "
 Port Ellen 1982, 70cl / 40% ," £1,600 "
 Tamnavulin-Glenlivet 22 Year Old , 75cl / 45% , £600 
 Highland Park 1978, 70cl / 55% ," £1,250 "
 Macallan Masters of Photography Magnum Edition 7th , 70cl / 43.7% ," £2,700 "
 Littlemill 40 Year Old, 70cl / 46.8% ," £5,500 "
 Glenfarclas 8 Year Old, 75cl / 60% , £700 
 Laphroaig 10 Year Old, 100cl / 43% ," £2,350 "
 Glencadam 1989, 70cl / 56.8% , £420 
 Auchentoshan 1966, 75cl / 43% ," £1,350 "
 Glenfarclas 40 Year Old, 70cl / 43% ," £5,000 "
 Dalwhinnie 15 Year Old, 70cl / 43% , £199 
 Laphroaig 10 Year Old, 70cl / 55.7% , £600 
 Deanston 1999, 70cl / 51% , £145 
 Knockando 1967, 75cl / 43% , £550 
 Glen Grant 1972, 75cl / 61.5% ," £1,000 "
 Laphroaig 10 Year Old, 75cl / 55.7% , £800 
 Macallan 1851 Inspiration , 70cl / 41.3% , £900 
 SMWS 18.5 (Inchgower), 70cl / 61.6% ," £2,000 "
 Glen Grant 1951, 70cl / 40% ," £3,200 "
 Glen Grant 1948, 70cl / 40% ," £4,200 "
 Gordon & MacPhail Strathisla Collection , 420cl / 43% ," £10,000 "
 Tomatin 12 Year Old, 20cl / 43% , £18.75 
 Aberlour-Glenlivet Centenary, 75cl / 40% ," £1,200 "
 Highland Park 1958, 75cl / 43% ," £3,000 "
 Highland Park 1976, 70cl / 46% , £500 
 Highland Park 1986, 75cl / 53.8% ," £1,200 "
 Glenfiddich 10 Year Old, 75.7cl / 43% , £450 
 Glen Grant 1984, 75cl / 57.9% , £600 
 Ardbeg 1975, 70cl / 47.3% ," £3,000 "
 Bruichladdich 21 Year Old, 70cl / 43% , £450 
 Highland Park 12 Year Old, 70cl / 40% , £199 
